"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2017",51.989063,
"AUS","EDUTRY","25_34","PC_AGE","A","2018",51.393173,
"AUS","EDUTRY","25_34","PC_AGE","A","2019",52.478458,
"AUS","EDUTRY","25_34","PC_AGE","A","2020",54.614105,
"AUT","EDUTRY","25_34","PC_AGE","A","2017",40.324657,
"AUT","EDUTRY","25_34","PC_AGE","A","2018",40.458271,
"AUT","EDUTRY","25_34","PC_AGE","A","2019",41.610401,
"AUT","EDUTRY","25_34","PC_AGE","A","2020",41.419125,
"BEL","EDUTRY","25_34","PC_AGE","A","2017",45.725086,
"BEL","EDUTRY","25_34","PC_AGE","A","2018",47.397144,
"BEL","EDUTRY","25_34","PC_AGE","A","2019",47.282982,
"BEL","EDUTRY","25_34","PC_AGE","A","2020",48.508053,
"CAN","EDUTRY","25_34","PC_AGE","A","2017",60.916767,
"CAN","EDUTRY","25_34","PC_AGE","A","2018",61.754246,
"CAN","EDUTRY","25_34","PC_AGE","A","2019",62.965115,
"CAN","EDUTRY","25_34","PC_AGE","A","2020",64.386749,
"CZE","EDUTRY","25_34","PC_AGE","A","2017",33.821026,
"CZE","EDUTRY","25_34","PC_AGE","A","2018",33.328793,
"CZE","EDUTRY","25_34","PC_AGE","A","2019",32.580391,
"CZE","EDUTRY","25_34","PC_AGE","A","2020",33.001759,
"DNK","EDUTRY","25_34","PC_AGE","A","2017",45.537395,
"DNK","EDUTRY","25_34","PC_AGE","A","2018",45.83231,
"DNK","EDUTRY","25_34","PC_AGE","A","2019",47.097672,
"DNK","EDUTRY","25_34","PC_AGE","A","2020",42.575157,
"FIN","EDUTRY","25_34","PC_AGE","A","2017",41.253643,
"FIN","EDUTRY","25_34","PC_AGE","A","2018",41.313869,
"FIN","EDUTRY","25_34","PC_AGE","A","2019",41.820766,
"FIN","EDUTRY","25_34","PC_AGE","A","2020",44.665718,
"FRA","EDUTRY","25_34","PC_AGE","A","2017",44.34428,
"FRA","EDUTRY","25_34","PC_AGE","A","2018",46.937691,
"FRA","EDUTRY","25_34","PC_AGE","A","2019",48.052528,
"FRA","EDUTRY","25_34","PC_AGE","A","2020",49.449242,
"DEU","EDUTRY","25_34","PC_AGE","A","2017",31.308737,
"DEU","EDUTRY","25_34","PC_AGE","A","2018",32.281734,
"DEU","EDUTRY","25_34","PC_AGE","A","2019",33.260235,
"DEU","EDUTRY","25_34","PC_AGE","A","2020",34.876732,
"GRC","EDUTRY","25_34","PC_AGE","A","2017",42.479965,
"GRC","EDUTRY","25_34","PC_AGE","A","2018",42.821678,
"GRC","EDUTRY","25_34","PC_AGE","A","2019",42.406635,
"GRC","EDUTRY","25_34","PC_AGE","A","2020",43.685429,
"HUN","EDUTRY","25_34","PC_AGE","A","2017",30.162258,
"HUN","EDUTRY","25_34","PC_AGE","A","2018",30.576908,
"HUN","EDUTRY","25_34","PC_AGE","A","2019",30.589085,
"HUN","EDUTRY","25_34","PC_AGE","A","2020",30.688835,
"ISL","EDUTRY","25_34","PC_AGE","A","2017",42.677822,
"ISL","EDUTRY","25_34","PC_AGE","A","2018",42.116936,
"ISL","EDUTRY","25_34","PC_AGE","A","2019",42.176826,
"ISL","EDUTRY","25_34","PC_AGE","A","2020",38.304203,
"IRL","EDUTRY","25_34","PC_AGE","A","2017",53.473541,
"IRL","EDUTRY","25_34","PC_AGE","A","2018",56.174488,
"IRL","EDUTRY","25_34","PC_AGE","A","2019",55.44936,
"IRL","EDUTRY","25_34","PC_AGE","A","2020",58.383801,
"ITA","EDUTRY","25_34","PC_AGE","A","2017",26.816479,
"ITA","EDUTRY","25_34","PC_AGE","A","2018",27.726679,
"ITA","EDUTRY","25_34","PC_AGE","A","2019",27.744524,
"ITA","EDUTRY","25_34","PC_AGE","A","2020",28.858971,
"JPN","EDUTRY","25_34","PC_AGE","A","2017",60.426178,
"JPN","EDUTRY","25_34","PC_AGE","A","2018",60.730949,
"JPN","EDUTRY","25_34","PC_AGE","A","2019",61.514194,
"KOR","EDUTRY","25_34","PC_AGE","A","2017",69.752068,
"KOR","EDUTRY","25_34","PC_AGE","A","2018",69.574219,
"KOR","EDUTRY","25_34","PC_AGE","A","2019",69.802818,
"KOR","EDUTRY","25_34","PC_AGE","A","2020",69.812752,
"LUX","EDUTRY","25_34","PC_AGE","A","2017",51.395588,
"LUX","EDUTRY","25_34","PC_AGE","A","2018",54.780186,
"LUX","EDUTRY","25_34","PC_AGE","A","2019",54.989532,
"LUX","EDUTRY","25_34","PC_AGE","A","2020",58.153271,
"MEX","EDUTRY","25_34","PC_AGE","A","2017",22.555721,
"MEX","EDUTRY","25_34","PC_AGE","A","2018",23.359127,
"MEX","EDUTRY","25_34","PC_AGE","A","2019",23.587111,
"MEX","EDUTRY","25_34","PC_AGE","A","2020",25.290871,
"NLD","EDUTRY","25_34","PC_AGE","A","2017",46.594383,
"NLD","EDUTRY","25_34","PC_AGE","A","2018",47.603172,
"NLD","EDUTRY","25_34","PC_AGE","A","2019",49.103264,
"NLD","EDUTRY","25_34","PC_AGE","A","2020",52.261906,
"NZL","EDUTRY","25_34","PC_AGE","A","2017",44.158596,
"NZL","EDUTRY","25_34","PC_AGE","A","2018",45.811745,
"NZL","EDUTRY","25_34","PC_AGE","A","2019",43.792194,
"NZL","EDUTRY","25_34","PC_AGE","A","2020",43.913631,
"NOR","EDUTRY","25_34","PC_AGE","A","2017",48.337029,
"NOR","EDUTRY","25_34","PC_AGE","A","2018",48.211601,
"NOR","EDUTRY","25_34","PC_AGE","A","2019",48.658932,
"NOR","EDUTRY","25_34","PC_AGE","A","2020",50.841923,
"POL","EDUTRY","25_34","PC_AGE","A","2017",43.526325,
"POL","EDUTRY","25_34","PC_AGE","A","2018",43.523716,
"POL","EDUTRY","25_34","PC_AGE","A","2019",43.484364,
"POL","EDUTRY","25_34","PC_AGE","A","2020",42.433945,
"PRT","EDUTRY","25_34","PC_AGE","A","2017",34.031322,
"PRT","EDUTRY","25_34","PC_AGE","A","2018",35.078072,
"PRT","EDUTRY","25_34","PC_AGE","A","2019",37.36721,
"PRT","EDUTRY","25_34","PC_AGE","A","2020",41.910061,
"SVK","EDUTRY","25_34","PC_AGE","A","2017",35.065048,
"SVK","EDUTRY","25_34","PC_AGE","A","2018",37.208523,
"SVK","EDUTRY","25_34","PC_AGE","A","2019",39.158154,
"SVK","EDUTRY","25_34","PC_AGE","A","2020",39.042641,
"ESP","EDUTRY","25_34","PC_AGE","A","2017",42.644691,
"ESP","EDUTRY","25_34","PC_AGE","A","2018",44.259609,
"ESP","EDUTRY","25_34","PC_AGE","A","2019",46.508266,
"ESP","EDUTRY","25_34","PC_AGE","A","2020",47.379524,
"SWE","EDUTRY","25_34","PC_AGE","A","2017",47.388306,
"SWE","EDUTRY","25_34","PC_AGE","A","2018",47.530075,
"SWE","EDUTRY","25_34","PC_AGE","A","2019",48.373196,
"SWE","EDUTRY","25_34","PC_AGE","A","2020",49.133411,
"CHE","EDUTRY","25_34","PC_AGE","A","2017",50.136665,
"CHE","EDUTRY","25_34","PC_AGE","A","2018",51.206909,
"CHE","EDUTRY","25_34","PC_AGE","A","2019",52.695705,
"CHE","EDUTRY","25_34","PC_AGE","A","2020",52.972816,
"TUR","EDUTRY","25_34","PC_AGE","A","2017",31.588659,
"TUR","EDUTRY","25_34","PC_AGE","A","2018",33.280041,
"TUR","EDUTRY","25_34","PC_AGE","A","2019",35.325356,
"GBR","EDUTRY","25_34","PC_AGE","A","2017",51.624851,
"GBR","EDUTRY","25_34","PC_AGE","A","2018",50.752552,
"GBR","EDUTRY","25_34","PC_AGE","A","2019",51.809521,
"GBR","EDUTRY","25_34","PC_AGE","A","2020",55.833538,
"USA","EDUTRY","25_34","PC_AGE","A","2017",47.757,
"USA","EDUTRY","25_34","PC_AGE","A","2018",49.373737,
"USA","EDUTRY","25_34","PC_AGE","A","2019",50.380188,
"USA","EDUTRY","25_34","PC_AGE","A","2020",51.856071,
"ARG","EDUTRY","25_34","PC_AGE","A","2017",18.388876,
"ARG","EDUTRY","25_34","PC_AGE","A","2018",39.957542,
"BRA","EDUTRY","25_34","PC_AGE","A","2017",19.613668,
"BRA","EDUTRY","25_34","PC_AGE","A","2018",21.314569,
"BRA","EDUTRY","25_34","PC_AGE","A","2019",21.602325,
"BRA","EDUTRY","25_34","PC_AGE","A","2020",23.531902,
"CHL","EDUTRY","25_34","PC_AGE","A","2017",33.726387,
"EST","EDUTRY","25_34","PC_AGE","A","2017",43.041157,
"EST","EDUTRY","25_34","PC_AGE","A","2018",43.633705,
"EST","EDUTRY","25_34","PC_AGE","A","2019",42.760071,
"EST","EDUTRY","25_34","PC_AGE","A","2020",43.145798,
"IDN","EDUTRY","25_34","PC_AGE","A","2017",16.130028,
"ISR","EDUTRY","25_34","PC_AGE","A","2017",48.028301,
"ISR","EDUTRY","25_34","PC_AGE","A","2018",47.1143,
"ISR","EDUTRY","25_34","PC_AGE","A","2019",47.04248,
"ISR","EDUTRY","25_34","PC_AGE","A","2020",47.257065,
"RUS","EDUTRY","25_34","PC_AGE","A","2017",62.657864,
"RUS","EDUTRY","25_34","PC_AGE","A","2018",62.09024,
"SVN","EDUTRY","25_34","PC_AGE","A","2017",44.566971,
"SVN","EDUTRY","25_34","PC_AGE","A","2018",40.713264,
"SVN","EDUTRY","25_34","PC_AGE","A","2019",44.105736,
"SVN","EDUTRY","25_34","PC_AGE","A","2020",45.425419,
"ZAF","EDUTRY","25_34","PC_AGE","A","2017",14.820914,
"ZAF","EDUTRY","25_34","PC_AGE","A","2018",14.292954,
"ZAF","EDUTRY","25_34","PC_AGE","A","2019",14.487103,
"ZAF","EDUTRY","25_34","PC_AGE","A","2020",14.853134,
"OAVG","EDUTRY","25_34","PC_AGE","A","2017",43.171617,
"OAVG","EDUTRY","25_34","PC_AGE","A","2018",43.996352,
"OAVG","EDUTRY","25_34","PC_AGE","A","2019",44.761941,
"OAVG","EDUTRY","25_34","PC_AGE","A","2020",45.513483,
"LVA","EDUTRY","25_34","PC_AGE","A","2017",41.608852,
"LVA","EDUTRY","25_34","PC_AGE","A","2018",41.648941,
"LVA","EDUTRY","25_34","PC_AGE","A","2019",43.811146,
"LVA","EDUTRY","25_34","PC_AGE","A","2020",44.246166,
"COL","EDUTRY","25_34","PC_AGE","A","2017",28.106581,
"COL","EDUTRY","25_34","PC_AGE","A","2018",28.959703,
"COL","EDUTRY","25_34","PC_AGE","A","2019",29.873518,
"COL","EDUTRY","25_34","PC_AGE","A","2020",29.993586,
"LTU","EDUTRY","25_34","PC_AGE","A","2017",55.625957,
"LTU","EDUTRY","25_34","PC_AGE","A","2018",55.581402,
"LTU","EDUTRY","25_34","PC_AGE","A","2019",55.187374,
"LTU","EDUTRY","25_34","PC_AGE","A","2020",56.18409,
"CRI","EDUTRY","25_34","PC_AGE","A","2017",28.004108,
"CRI","EDUTRY","25_34","PC_AGE","A","2018",27.815552,
"CRI","EDUTRY","25_34","PC_AGE","A","2019",31.346508,
"CRI","EDUTRY","25_34","PC_AGE","A","2020",32.465542,
"G20","EDUTRY","25_34","PC_AGE","A","2018",39.987938,
"G20","EDUTRY","25_34","PC_AGE","A","2019",39.335909,
